sigma,traces,trials,successes,success_rate,wilson_95_low,wilson_95_high,mean_rank_1_based
2.0,32,40,24,0.6,0.445956198273935,0.7365188938759863,3.05
2.0,64,40,39,0.975,0.8711834051199223,0.9955732825922052,1.025
2.0,128,40,40,1.0,0.9123754607496077,1,1.0
2.0,256,40,40,1.0,0.9123754607496077,1,1.0
2.0,512,40,40,1.0,0.9123754607496077,1,1.0
2.0,1024,40,40,1.0,0.9123754607496077,1,1.0
2.0,2048,40,40,1.0,0.9123754607496077,1,1.0
4.0,32,40,6,0.15,0.07061091708507435,0.2907262603902003,36.125
4.0,64,40,16,0.4,0.2634811061240136,0.5540438017260649,11.525
4.0,128,40,35,0.875,0.7388757932976187,0.9454058022645873,1.55
4.0,256,40,40,1.0,0.9123754607496077,1,1.0
4.0,512,40,40,1.0,0.9123754607496077,1,1.0
4.0,1024,40,40,1.0,0.9123754607496077,1,1.0
4.0,2048,40,40,1.0,0.9123754607496077,1,1.0
8.0,32,40,0,0.0,0,0.08762453925039232,104.775
8.0,64,40,1,0.025,0.0044267174077949195,0.1288165948800778,71.15
8.0,128,40,6,0.15,0.07061091708507435,0.2907262603902003,33.375
8.0,256,40,19,0.475,0.32935229550181694,0.6250289314607027,7.975
8.0,512,40,33,0.825,0.6804970794560755,0.9125469700311694,2.125
8.0,1024,40,39,0.975,0.8711834051199223,0.9955732825922052,1.025
8.0,2048,40,40,1.0,0.9123754607496077,1,1.0
